genus,1210-MG,1211-MG,1212-MG,1213-MG,1214-MG,1215-MG,1216-MG,1217-MG,551-MG,552-MG,553-MG,554-MG,555-MG,556-MG,557-MG,900-MG,901-MG,902-MG,903-MG,904-MG,905-MG,906-MG,907-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Janibacter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,1,2,0,1,65,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter
Knoellia,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Knoellia
Phycicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Phycicoccus
Agrococcus,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Agrococcus
Agromyces,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Agromyces
Curtobacterium,0,0,0,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Curtobacterium
Galbitalea,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Galbitalea
Leucobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,140,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Leucobacter
Microbacterium,10,56,2,48,3,0,6,0,0,0,0,3,0,0,4,58,0,0,61,0,0,0,0,251,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium
Mycetocola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Mycetocola
Arthrobacter,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,27,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Arthrobacter
Citricoccus,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Citricoccus
Enteractinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Enteractinococcus
Garicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Garicola
Kocuria,31,29,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,2,2,105,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria
Micrococcus,0,0,5,0,0,0,0,0,0,0,0,0,64,11,0,0,0,0,21,2,0,2,1,106,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus
Nesterenkonia,0,0,5,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,38,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Nesterenkonia
Rothia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,97,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia
Ornithinimicrobium,9,2,0,9,0,0,0,0,0,0,0,2,0,14,0,87,0,0,25,2,0,0,0,150,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Ornithinimicrobiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
Serinicoccus,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Ornithinimicrobiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Serinicoccus
Cellulosimicrobium,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Promicromonosporaceae;Cellulosimicrobium
Actinoplanes,0,26,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Actinoplanes
Asanoa,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Asanoa
Couchioplanes,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Couchioplanes
Micromonospora,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Micromonospora
Phytohabitans,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Phytohabitans
