tax	1062-MG	1082-MG	1202-MG	1313-MG	481-MG	482-MG	581-MG	640-MG	644A-MG	713-MG	726-MG	728-MG	729-MG	730-MG	731-MG	734-MG	741-MG	769-MG	778-MG	781-MG	809-MG	816-MG	817-MG	936-MG	total
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	639
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	603
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0	11	0	0	0	0	7	0	0	0	0	107	0	0	0	89	0	42	0	149	0	40	100	0	545
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter	0	0	52	0	0	139	0	3	29	2	0	19	0	0	0	0	24	0	0	0	128	23	1	47	467
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	196	0	162	30	428
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	43	62	0	0	0	0	0	52	370
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	52	22	0	0	0	1	0	19	0	219	0	0	0	0	0	0	0	0	0	48	0	0	0	1	362
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia	0	12	3	0	0	0	0	0	0	0	0	46	0	19	0	107	0	0	0	0	0	150	0	0	337
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	67	214	0	0	0	329
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	311
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	309
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga	0	0	0	0	0	1	0	38	0	2	0	2	0	0	0	0	0	6	0	0	2	2	249	1	303
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	10	0	13	0	0	0	0	22	0	0	0	27	51	0	0	0	0	27	0	57	0	5	86	0	298
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	278
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus	21	0	0	0	0	0	0	0	0	0	1	0	11	16	0	0	0	0	0	21	0	0	201	0	271
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Zymobacter	165	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	78	0	258
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	34	216	258
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus	118	0	0	0	0	0	2	2	0	8	1	2	21	2	0	12	0	0	0	49	0	0	34	0	251
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides	0	20	6	0	0	0	0	0	3	5	0	8	0	0	0	91	1	0	0	6	70	0	20	18	248
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas	0	0	1	0	0	0	0	0	0	0	0	46	46	33	0	0	116	0	0	0	0	0	0	0	242
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Azohydromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	234
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Arsenophonus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	230
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0	0	23	0	0	69	0	11	0	0	0	44	0	0	0	0	0	0	0	0	0	82	0	0	229
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	227
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	53	0	0	67	0	223
