genus,1210-OV,1211-OV,1212-OV,1213-OV,1214-OV,1215-OV,1216-OV,1217-OV,551-OV,552-OV,553-OV,554-OV,555-OV,556-OV,557-OV,900-OV,901-OV,902-OV,903-OV,904-OV,905-OV,906-OV,907-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Arenivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Arenivirga
Frondihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Frondihabitans
Gulosibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,58,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Gulosibacter
Microbacterium,40,0,0,0,2,0,41,0,0,0,0,1,0,9,0,0,2,0,0,68,17,0,0,180,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium
Arthrobacter,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,101,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Arthrobacter
Citricoccus,0,0,3,0,0,0,0,0,0,0,0,0,96,24,0,0,0,113,0,79,0,0,0,315,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Citricoccus
Enteractinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,138,0,12,0,153,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Enteractinococcus
Glutamicibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,14,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Glutamicibacter
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,211,0,263,89,18,0,609,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria
Micrococcus,0,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,1,55,0,291,0,31,0,420,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus
Nesterenkonia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Nesterenkonia
Yaniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,31,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Yaniella
Zafaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Zafaria
Ornithinimicrobium,0,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0,3,87,0,177,133,32,0,485,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Ornithinimicrobiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
Cellulosimicrobium,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Promicromonosporaceae;Cellulosimicrobium
Isoptericola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,0,21,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Promicromonosporaceae;Isoptericola
Promicromonospora,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,48,11,0,68,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Promicromonosporaceae;Promicromonospora
Xylanimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Promicromonosporaceae;Xylanimicrobium
Micromonospora,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Micromonospora
