genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Ignatzschineria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,582,Bacteria,none,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_sedis,Gammaproteobacteria_Incertae_sedis_Incertae_sedis,Bacteria;none;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_sedis;Gammaproteobacteria_Incertae_sedis_Incertae_sedis;Ignatzschineria
Romboutsia,0,20,5,0,0,0,0,0,0,0,0,80,0,47,0,197,0,0,0,0,0,231,0,0,580,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia
Clostridium,0,0,0,0,0,0,1,0,0,0,0,8,0,2,0,0,0,0,0,7,0,0,546,0,564,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Bradyrhizobium,26,0,24,0,0,0,0,32,0,0,0,56,79,0,0,0,0,44,0,103,0,17,170,0,551,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Atopostipes,28,0,0,1,0,0,117,0,0,0,11,48,0,0,0,63,0,0,0,5,31,79,157,0,540,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes
Gluconobacter,521,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter
Acidovorax,77,36,1,0,0,8,0,32,2,261,0,1,0,1,0,27,1,0,0,69,2,0,0,1,519,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
Lactobacillus,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,140,295,0,0,0,518,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
Spirosoma,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,291,60,74,0,0,0,0,1,85,513,Bacteria,none,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Bacteria;none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma
Rhodococcus,37,0,0,0,0,0,0,0,0,0,1,0,71,27,0,0,1,0,0,28,0,0,339,0,504,Bacteria,none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus
Nocardioides,0,47,9,0,0,0,0,0,6,5,0,17,0,0,0,166,3,0,0,31,108,0,43,35,470,Bacteria,none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides
Streptococcus,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,468,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
