genus,1210-MG,1211-MG,1212-MG,1213-MG,1214-MG,1215-MG,1216-MG,1217-MG,551-MG,552-MG,553-MG,554-MG,555-MG,556-MG,557-MG,900-MG,901-MG,902-MG,903-MG,904-MG,905-MG,906-MG,907-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Ramicandelaber,2,2,3,2,2,0,3,9,1,6,3,1,1,5,0,3,0,0,0,2,7,11,6,69,Eukaryota,Fungi,Zoopagomycota,Zoopagomycota_Incertae_sedis,Ramicandelaberales,Ramicandelaberaceae,Eukaryota;Fungi;Zoopagomycota;Zoopagomycota_Incertae_sedis;Ramicandelaberales;Ramicandelaberaceae;Ramicandelaber
Sporobacter,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Sporobacter
Cnuella,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Cnuella
Roseococcus,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseococcus
Methylosinus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylosinus
Tabrizicola,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola
Variibacter,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Variibacter
Corticibacterium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Corticibacterium
Hoeflea,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea
Desulfomonile,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Deltaproteobacteria,Syntrophales,Syntrophaceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile
Syntrophus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Deltaproteobacteria,Syntrophales,Syntrophaceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Syntrophales;Syntrophaceae;Syntrophus
Acidisoma,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma
Halovulum,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Halovulum
Agriterribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,Bacteria,none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Agriterribacter
Cystobacter,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Cystobacter
Syntrophotalea,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Syntrophotaleaceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Syntrophotaleaceae;Syntrophotalea
Oryzobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Oryzobacter
Akkermansia,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Bacteria;none;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia
Phosphitispora,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Phosphitispora
Thermincola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Thermincolaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Thermincolaceae;Thermincola
Ammonifex,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Bacteria;none;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Ammonifex
Pelagerythrobacter,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Pelagerythrobacter
Sporomusa,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Bacteria;none;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;Sporomusa
Acidisphaera,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera
Longilinea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,Bacteria,none,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bacteria;none;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea
Segnochrobactrum,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Segnochrobactraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Segnochrobactraceae;Segnochrobactrum
Alteraurantiacibacter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Alteraurantiacibacter
Acidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Bacteria;none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium
Nitrospina,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Bacteria;none;Nitrospinae;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina
