genus,1210-OV,1211-OV,1212-OV,1213-OV,1214-OV,1215-OV,1216-OV,1217-OV,551-OV,552-OV,553-OV,554-OV,555-OV,556-OV,557-OV,900-OV,901-OV,902-OV,903-OV,904-OV,905-OV,906-OV,907-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Rickettsia,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia
Pseudothauera,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,13,Bacteria,none,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera
Racemicystis,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,none,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Racemicystis
Methylosinus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylosinus
Prauserella,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Prauserella
Rhodocyclus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,Bacteria,none,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus
Pleurocapsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Pleurocapsales,Hyellaceae,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Pleurocapsales;Hyellaceae;Pleurocapsa
Methylovirgula,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,12,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylovirgula
Waterburya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Pleurocapsales,Hyellaceae,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Pleurocapsales;Hyellaceae;Waterburya
Labilithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,12,Bacteria,none,Proteobacteria,Deltaproteobacteria,Myxococcales,Labilitrichaceae,Bacteria;none;Proteobacteria;Deltaproteobacteria;Myxococcales;Labilitrichaceae;Labilithrix
