task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
43	c8/80064f	393800	minimap_pipeline:minimap (900-OV)	COMPLETED	0	2024-06-02 14:11:34.734	2m 9s	2m 8s	1061.8%	1020.1 MB	3.6 GB	584 MB	99.8 MB
44	23/c5142f	398113	minimap_pipeline:minimap (1210-OV)	COMPLETED	0	2024-06-02 14:13:43.779	1m 52s	1m 51s	1045.9%	1.1 GB	3.7 GB	576.9 MB	93.4 MB
45	b7/c73c32	402048	minimap_pipeline:minimap (902-OV)	COMPLETED	0	2024-06-02 14:15:35.973	4m 17s	4m 16s	1124.1%	1.1 GB	3.6 GB	660.9 MB	168.7 MB
46	0e/58d3ec	409481	minimap_pipeline:minimap (553-OV)	COMPLETED	0	2024-06-02 14:19:53.408	6m 54s	6m 53s	1144.5%	1 GB	3.6 GB	850.4 MB	341.7 MB
47	9a/98e251	420657	minimap_pipeline:minimap (1211-OV)	COMPLETED	0	2024-06-02 14:26:47.701	30s	28.9s	165.5%	860.1 MB	3.1 GB	509.2 MB	32.5 MB
48	27/57f9eb	422744	minimap_pipeline:minimap (1216-OV)	COMPLETED	0	2024-06-02 14:27:17.715	2m 32s	2m 31s	1081.3%	1.1 GB	3.6 GB	609.8 MB	122.9 MB
49	c5/fa9180	427624	minimap_pipeline:minimap (555-OV)	COMPLETED	0	2024-06-02 14:29:49.729	3m 29s	3m 28s	1110.6%	1.1 GB	3.6 GB	635.3 MB	145.9 MB
50	cc/85b5cf	433887	minimap_pipeline:minimap (1217-OV)	COMPLETED	0	2024-06-02 14:33:18.388	52.3s	51.2s	876.0%	1006.1 MB	3.6 GB	532.3 MB	53.3 MB
51	d5/8120d0	436317	minimap_pipeline:minimap (904-OV)	COMPLETED	0	2024-06-02 14:34:10.696	5m 19s	5m 18s	1135.6%	1.1 GB	3.6 GB	699.9 MB	203.6 MB
52	7d/7a214b	445254	minimap_pipeline:minimap (556-OV)	COMPLETED	0	2024-06-02 14:39:29.424	1m 7s	1m 5s	949.2%	1.1 GB	3.7 GB	541.1 MB	61.1 MB
53	8b/102afe	448086	minimap_pipeline:minimap (1212-OV)	COMPLETED	0	2024-06-02 14:40:36.071	51.4s	50.3s	873.4%	1 GB	3.6 GB	530.9 MB	52 MB
54	4c/41b048	450514	minimap_pipeline:createAbundanceTables	COMPLETED	0	2024-06-02 14:41:27.440	17s	15.9s	106.2%	437.2 MB	1.9 GB	46.9 MB	26.7 MB
56	04/7d1a40	451551	minimap_pipeline:output_results (3)	COMPLETED	0	2024-06-02 14:41:44.428	1s	2ms	109.1%	0	0	55.5 KB	208 B
55	09/13d70f	451585	minimap_pipeline:makeReport (1)	COMPLETED	0	2024-06-02 14:41:44.476	42.6s	40.8s	102.0%	428.5 MB	2 GB	62.9 MB	32.6 MB
57	7f/0eaf79	453259	minimap_pipeline:output_results (4)	COMPLETED	0	2024-06-02 14:42:27.070	1s	3ms	120.0%	0	0	55.5 KB	208 B
