task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
43	d7/604cb9	279198	minimap_pipeline:minimap (713-MG)	COMPLETED	0	2024-06-02 13:19:34.598	2m 7s	2m 6s	1062.8%	1 GB	3.6 GB	580.8 MB	96.9 MB
44	96/51ed99	283429	minimap_pipeline:minimap (729-MG)	COMPLETED	0	2024-06-02 13:21:41.567	1m 33s	1m 32s	1016.7%	1 GB	3.7 GB	565.7 MB	83.3 MB
45	5f/7e1d5d	286895	minimap_pipeline:minimap (778-MG)	COMPLETED	0	2024-06-02 13:23:14.869	29.5s	28.4s	128.8%	442 MB	2.7 GB	507.1 MB	30.6 MB
46	8b/bb306f	288742	minimap_pipeline:minimap (781-MG)	COMPLETED	0	2024-06-02 13:23:44.356	3m 2s	3m 1s	1099.2%	1.1 GB	3.6 GB	623.7 MB	135.4 MB
47	f1/e148e7	294323	minimap_pipeline:minimap (1202-MG)	COMPLETED	0	2024-06-02 13:26:46.810	59.4s	58.3s	920.5%	1000.5 MB	3.6 GB	539.4 MB	59.7 MB
48	7a/9ff832	296969	minimap_pipeline:minimap (730-MG)	COMPLETED	0	2024-06-02 13:27:46.178	1m 41s	1m 40s	1029.1%	1.1 GB	3.6 GB	566.7 MB	84.2 MB
49	82/860c6d	300566	minimap_pipeline:minimap (640-MG)	COMPLETED	0	2024-06-02 13:29:27.178	1m 17s	1m 16s	982.1%	1 GB	3.6 GB	552.3 MB	71.2 MB
50	10/e963e6	303623	minimap_pipeline:minimap (1313-MG)	COMPLETED	0	2024-06-02 13:30:44.638	29.4s	28.3s	128.9%	757.8 MB	3.1 GB	507.3 MB	30.8 MB
51	38/46029a	305704	minimap_pipeline:minimap (809-MG)	COMPLETED	0	2024-06-02 13:31:13.999	3m 20s	3m 19s	1106.2%	1.1 GB	4.1 GB	645.8 MB	155.1 MB
52	05/4245fd	311740	minimap_pipeline:minimap (644A-MG)	COMPLETED	0	2024-06-02 13:34:33.671	1m 32s	1m 31s	1013.9%	1021.9 MB	3.6 GB	562.7 MB	80.6 MB
53	f3/e702c5	315175	minimap_pipeline:minimap (731-MG)	COMPLETED	0	2024-06-02 13:36:05.954	29.5s	28.3s	130.0%	754.9 MB	3.1 GB	507.7 MB	31.1 MB
54	cd/c2eb44	317257	minimap_pipeline:minimap (816-MG)	COMPLETED	0	2024-06-02 13:36:35.439	1m 46s	1m 45s	1036.5%	1.1 GB	3.7 GB	572.3 MB	89.2 MB
55	ad/769cb6	321028	minimap_pipeline:minimap (482-MG)	COMPLETED	0	2024-06-02 13:38:21.075	3m 46s	3m 45s	1116.0%	1014.1 MB	4 GB	655.9 MB	164.3 MB
56	57/a40c86	327705	minimap_pipeline:createAbundanceTables	COMPLETED	0	2024-06-02 13:42:07.138	17.1s	16s	106.7%	425.5 MB	1.9 GB	46.9 MB	26.7 MB
58	4f/7351e3	328743	minimap_pipeline:output_results (3)	COMPLETED	0	2024-06-02 13:42:24.224	1.2s	3ms	133.3%	0	0	55.5 KB	206 B
57	05/bff5be	328765	minimap_pipeline:makeReport (1)	COMPLETED	0	2024-06-02 13:42:24.264	41.6s	39.9s	102.6%	427.8 MB	1.9 GB	64.2 MB	32.5 MB
59	2e/e4bea2	330405	minimap_pipeline:output_results (4)	COMPLETED	0	2024-06-02 13:43:05.891	1.1s	3ms	85.7%	0	0	55.5 KB	205 B
