tax	1210-OV	1211-OV	1212-OV	1213-OV	1214-OV	1215-OV	1216-OV	1217-OV	551-OV	552-OV	553-OV	554-OV	555-OV	556-OV	557-OV	900-OV	901-OV	902-OV	903-OV	904-OV	905-OV	906-OV	907-OV	total
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter	5	0	4	0	1	4	0	0	0	0	0	0	0	0	0	0	4	144	0	408	46	0	0	616
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	14	211	0	263	89	18	0	609
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus	0	0	8	0	0	0	0	0	138	52	0	0	0	25	0	27	13	46	31	187	51	22	0	600
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas	0	0	11	0	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	17	0	0	10	31	0	11	0	0	0	0	0	0	22	0	187	0	0	85	0	185	0	0	548
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia	0	0	0	0	5	0	0	0	81	0	0	0	0	5	0	15	0	333	0	65	0	0	0	504
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium	0	0	4	49	0	0	0	0	0	0	0	0	0	0	0	0	3	87	0	177	133	32	0	485
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Neobacillus	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	1	0	0	3	0	0	0	465
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	0	0	0	0	36	5	0	0	272	0	0	0	0	0	0	0	4	67	19	0	45	0	0	448
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia	0	0	0	91	0	0	0	0	0	0	0	0	0	5	0	0	10	0	0	329	0	0	0	435
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Niallia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	96	65	1	0	85	70	105	0	423
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus	0	0	1	0	0	0	0	0	0	0	0	0	0	41	0	0	1	55	0	291	0	31	0	420
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum	0	0	0	0	0	0	13	0	43	0	0	0	231	0	41	0	0	0	0	0	57	0	0	385
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	0	0	6	0	0	0	0	0	0	0	0	0	38	20	0	18	14	67	2	121	69	0	0	355
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	1	0	0	0	0	0	0	0	216	0	0	0	57	26	54	0	0	0	0	0	0	0	0	354
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides	7	0	0	17	0	0	0	0	0	82	0	0	3	0	7	0	0	81	33	109	11	0	0	350
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus	9	0	11	179	0	0	9	85	0	20	5	2	0	3	7	0	7	0	5	0	7	0	0	349
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	57	0	3	223	30	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	335
