alias,barcode
551-MG,barcode13
557-MG,barcode14
905-MG,barcode15
1213-MG,barcode16
552-MG,barcode29
900-MG,barcode30
906-MG,barcode31
1214-MG,barcode32
553-MG,barcode45
901-MG,barcode46
907-MG,barcode47
1215-MG,barcode48
554-MG,barcode61
902-MG,barcode62
1210-MG,barcode63
1216-MG,barcode64
555-MG,barcode77
903-MG,barcode78
1211-MG,barcode79
1217-MG,barcode80
556-MG,barcode93
904-MG,barcode94
1212-MG,barcode95
