tax	1210-MG	1211-MG	1212-MG	1213-MG	1214-MG	1215-MG	1216-MG	1217-MG	551-MG	552-MG	553-MG	554-MG	555-MG	556-MG	557-MG	900-MG	901-MG	902-MG	903-MG	904-MG	905-MG	906-MG	907-MG	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	0	0	18	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	290
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	0	20	12	0	145	0	20	13	0	0	0	0	0	4	0	55	0	0	0	0	0	1	10	280
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	20	33	14	0	2	34	2	0	13	0	0	0	0	0	0	0	0	0	143	2	8	0	5	276
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus	0	17	1	0	0	0	0	0	83	0	0	0	0	27	70	46	0	0	0	9	1	0	0	254
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium	10	56	2	48	3	0	6	0	0	0	0	3	0	0	4	58	0	0	61	0	0	0	0	251
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum	38	0	0	0	53	20	0	0	0	0	0	10	58	26	24	0	0	0	0	0	0	0	0	229
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	0	22	0	30	0	149	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	217
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	45	0	8	0	85	0	0	26	0	0	0	2	41	8	0	0	0	0	0	0	0	0	0	215
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Mesobacillus	0	0	0	0	0	3	0	0	0	0	0	0	37	0	0	168	0	0	0	0	0	0	0	208
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0	0	0	89	1	5	1	1	0	0	0	0	0	0	31	0	0	0	38	0	23	0	15	204
